Width,Height,MaxIter,BlockX,BlockY,GridX,GridY,Time
ERROR: Image is not valid for settings (2400,2400,10000,928,448,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,928,464,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,928,480,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,928,496,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,512,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,528,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,544,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,560,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,576,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,592,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,928,608,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,624,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,640,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,656,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,672,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,688,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,704,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,720,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,736,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,752,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,768,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,784,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,800,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,928,816,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,832,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,848,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,864,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,880,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,896,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,912,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,928,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,944,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,960,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,976,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,992,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,1008,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,1024,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,944,1,2,2400).
ERROR: Image is not valid for settings (2400,2400,10000,944,16,2,150).
ERROR: Image is not valid for settings (2400,2400,10000,944,32,2,75).
ERROR: Image is not valid for settings (2400,2400,10000,944,48,2,50).
ERROR: Image is not valid for settings (2400,2400,10000,944,64,2,37).
ERROR: Image is not valid for settings (2400,2400,10000,944,80,2,30).
ERROR: Image is not valid for settings (2400,2400,10000,944,96,2,25).
ERROR: Image is not valid for settings (2400,2400,10000,944,112,2,21).
ERROR: Image is not valid for settings (2400,2400,10000,944,128,2,18).
ERROR: Image is not valid for settings (2400,2400,10000,944,144,2,16).
ERROR: Image is not valid for settings (2400,2400,10000,944,160,2,15).
ERROR: Image is not valid for settings (2400,2400,10000,944,176,2,13).
ERROR: Image is not valid for settings (2400,2400,10000,944,192,2,12).
ERROR: Image is not valid for settings (2400,2400,10000,944,208,2,11).
ERROR: Image is not valid for settings (2400,2400,10000,944,224,2,10).
